year,month,day,day_of_year,lag_1,lag_7,rolling_mean_7,value
2020,1,8,8,109.74942313545849,102.48357076505616,103.5271258620002,105.99865477632603
2020,1,9,9,105.99865477632603,99.61786845957496,104.02928072075305,100.12187580087752
2020,1,10,10,100.12187580087752,103.85677171913612,104.10128176951056,105.48940859479129
2020,1,11,11,105.48940859479129,108.54251558447906,104.33451560888987,100.76642424452254
2020,1,12,12,100.76642424452254,100.06548405618786,103.22364541746751,101.06126173199785
2020,1,13,13,101.06126173199785,100.37424731410886,103.36589937115465,104.90556303250456
2020,1,14,14,104.90556303250456,109.74942313545849,104.01323018806832,94.43458509850356
2020,1,15,15,94.43458509850356,105.99865477632603,101.82539618278905,95.6809755468516
2020,1,16,16,95.6809755468516,100.12187580087752,100.35144200714986,101.79799965375314
2020,1,17,17,101.79799965375314,105.48940859479129,100.59088827184635,99.8483991630118
2020,1,18,18,99.8483991630118,100.76642424452254,99.78502978159216,106.7861046612924
2020,1,19,19,106.7861046612924,101.06126173199785,100.64498412684499,100.97620775595472
2020,1,20,20,100.97620775595472,104.90556303250456,100.63283355883881,98.75536804889369
2020,1,21,21,98.75536804889369,94.43458509850356,99.75423427546583,113.44473876093532
2020,1,22,22,113.44473876093532,95.6809755468516,102.46997051295611,105.2862236465222
2020,1,23,23,105.2862236465222,101.79799965375314,103.84214881290904,107.05031050537572
2020,1,24,24,107.05031050537572,99.8483991630118,104.59247893456941,99.88539952218652
2020,1,25,25,99.88539952218652,106.7861046612924,104.5977647001658,104.58255730180794
2020,1,26,26,104.58255730180794,100.97620775595472,104.28297222023944,108.15322704304376
2020,1,27,27,108.15322704304376,98.75536804889369,105.3082606898236,102.13655562668367
2020,1,28,28,102.13655562668367,113.44473876093532,105.79128748665073,110.061643189511
2020,1,29,29,110.061643189511,105.2862236465222,105.3079881193044,105.47026369103288
2020,1,30,30,105.47026369103288,107.05031050537572,105.3342795542345,107.30392157978088
2020,1,31,31,107.30392157978088,99.88539952218652,105.37050970772096,106.04137469307396
2020,2,1,32,106.04137469307396,104.58255730180794,106.24993473213344,118.59735585061664
2020,2,2,33,118.59735585061664,108.15322704304376,108.25204881053469,109.5530316697468
2020,2,3,34,109.5530316697468,102.13655562668367,108.45202090006369,104.61496809382004
2020,2,4,35,104.61496809382004,110.061643189511,108.80607982394032,114.29766117041686
2020,2,5,36,114.29766117041686,105.47026369103288,109.41122524978401,104.3604984746494
2020,2,6,37,104.3604984746494,107.30392157978088,109.25268736172923,111.78713885805304
2020,2,7,38,111.78713885805304,106.04137469307396,109.89314697291096,101.22085676263752
2020,2,8,39,101.22085676263752,118.59735585061664,109.20450155427717,104.6529047818781
2020,2,9,40,104.6529047818781,109.5530316697468,107.21243711588598,112.55096932069424
2020,2,10,41,112.55096932069424,104.61496809382004,107.64071392316417,115.5299844847759
2020,2,11,42,115.5299844847759,114.29766117041686,109.20000197901501,112.96360216488668
2020,2,12,43,112.96360216488668,104.3604984746494,109.00942212108212,111.79571021014316
2020,2,13,44,111.79571021014316,111.78713885805304,110.07159522615267,111.133667222276
2020,2,14,45,111.133667222276,101.22085676263752,109.97824213532738,105.50981514653898
2020,2,15,46,105.50981514653898,104.6529047818781,110.59095047588472,109.56441146985485
2020,2,16,47,109.56441146985485,112.55096932069424,111.29259428845282,111.11957738236036
2020,2,17,48,111.11957738236036,115.5299844847759,111.08810972583369,118.96541631420138
2020,2,18,49,118.96541631420138,112.96360216488668,111.57888570146591,115.65279032908944
2020,2,19,50,115.65279032908944,111.79571021014316,111.96305543920916,105.37221671967644
2020,2,20,51,105.37221671967644,111.133667222276,111.04541351199964,116.05834668436172
2020,2,21,52,116.05834668436172,105.50981514653898,111.74893914944046,112.76078196417016
2020,2,22,53,112.76078196417016,109.56441146985485,112.78479155195919,111.5475742075482
2020,2,23,54,111.5475742075482,111.11957738236036,113.06810051448682,118.23424860947895
2020,2,24,55,118.23424860947895,118.96541631420138,114.08448211836091,120.57220832967008
2020,2,25,56,120.57220832967008,115.65279032908944,114.31402383485643,120.3125846350223
2020,2,26,57,120.3125846350223,105.37221671967644,114.97970873570398,111.69666939191968
2020,2,27,58,111.69666939191968,116.05834668436172,115.88320197459586,114.58083833001744
2020,2,28,59,114.58083833001744,112.76078196417016,115.67212935254668,118.01490210549684
2020,2,29,60,118.01490210549684,111.5475742075482,116.42271794416477,121.46550889407544
2020,3,1,61,121.46550889407544,118.23424860947895,117.83956575652583,114.41859671858958
2020,3,2,62,114.41859671858958,120.57220832967008,117.2944726292559,116.1103175256384
2020,3,3,63,116.1103175256384,120.3125846350223,116.65705965725138,111.72851615594983
2020,3,4,64,111.72851615594983,111.69666939191968,115.43076416024103,111.4981456618586
2020,3,5,65,111.4981456618586,114.58083833001744,115.40240362737516,121.75818057983014
2020,3,6,66,121.75818057983014,118.01490210549684,116.42773823449127,124.69048578952292
2020,3,7,67,124.69048578952292,121.46550889407544,117.38139304649499,117.76030805546314
2020,3,8,68,117.76030805546314,114.41859671858958,116.85207864097895,123.34641313956185
2020,3,9,69,123.34641313956185,116.1103175256384,118.12748098683213,120.342614658224
2020,3,10,70,120.342614658224,111.72851615594983,118.73209486291579,115.5117972652856
2020,3,11,71,115.5117972652856,111.4981456618586,119.2725635928209,120.74459172610123
2020,3,12,72,120.74459172610123,121.75818057983014,120.59348445914127,126.82525169048871
2020,3,13,73,126.82525169048871,124.69048578952292,121.31735176066391,119.1506134834581
2020,3,14,74,119.1506134834581,117.76030805546314,120.52594143122609,127.34483942482068
2020,3,15,75,127.34483942482068,123.34641313956185,121.89516019827715,106.61195955036516
2020,3,16,76,106.61195955036516,120.342614658224,119.50452397124907,124.00643262107248
2020,3,17,77,124.00643262107248,115.5117972652856,120.02792653737028,120.51554705420392
2020,3,18,78,120.51554705420392,120.74459172610123,120.74274793578718,118.76580948346157
2020,3,19,79,118.76580948346157,126.82525169048871,120.46006475826722,120.8973147191937
2020,3,20,80,120.8973147191937,119.1506134834581,119.6132166195108,110.6754489604267
2020,3,21,81,110.6754489604267,127.34483942482068,118.40247883050631,119.68682375839238
2020,3,22,82,119.68682375839238,106.61195955036516,117.30847659244513,122.73973241366018
2020,3,23,83,122.73973241366018,124.00643262107248,119.61244414434442,128.50971341897707
2020,3,24,84,128.50971341897707,120.51554705420392,120.25576997261649,118.69204447191017
2020,3,25,85,118.69204447191017,118.76580948346157,119.99526960371739,117.40115095830772
2020,3,26,86,117.40115095830772,120.8973147191937,119.80031838583828,119.092121385204
2020,3,27,87,119.092121385204,110.6754489604267,119.54243362383976,126.33226309096352
2020,3,28,88,126.33226309096352,119.68682375839238,121.77912135677357,123.55040713767268
2020,3,29,89,123.55040713767268,122.73973241366018,122.3310618395279,119.40629863568532
2020,3,30,90,119.40629863568532,128.50971341897707,121.85485701410292,124.76693052734392
2020,3,31,91,124.76693052734392,118.69204447191017,121.32017374386962,122.8285179960116
2020,4,1,92,122.8285179960116,117.40115095830772,121.91109853302696,127.3259336827656
2020,4,2,93,127.3259336827656,119.092121385204,123.32892463652094,119.10906262341754
2020,4,3,94,119.10906262341754,126.33226309096352,123.33134481340859,121.11467776858063
2020,4,4,95,121.11467776858063,123.55040713767268,122.58597548163961,120.9231502305266
2020,4,5,96,120.9231502305266,119.40629863568532,122.21065306633304,115.6938627510825
2020,4,6,97,115.6938627510825,124.76693052734392,121.68030508281834,124.6168321633722
2020,4,7,98,124.6168321633722,122.8285179960116,121.65886245939382,124.56335087972042
2020,4,8,99,124.56335087972042,127.3259336827656,121.90669572849507,123.4025405338032
2020,4,9,100,123.4025405338032,119.10906262341754,121.34621099292902,122.31999671449178
2020,4,10,101,122.31999671449178,121.11467776858063,121.80491586308247,116.52910447878236
2020,4,11,102,116.52910447878236,120.9231502305266,121.14983396453987,121.61283120566596
2020,4,12,103,121.61283120566596,115.6938627510825,121.2483598181312,122.10966670191276
2020,4,13,104,122.10966670191276,124.6168321633722,122.1649032396784,119.91612511342394
2020,4,14,105,119.91612511342394,124.56335087972042,121.49337366111433,123.22245552236096
2020,4,15,106,123.22245552236096,123.4025405338032,121.30181718149156,126.1476220263626
2020,4,16,107,126.1476220263626,122.31999671449178,121.69397168042863,133.65390339953765
2020,4,17,108,133.65390339953765,116.52910447878236,123.31310120686375,125.18860389909304
2020,4,18,109,125.18860389909304,121.61283120566596,124.55017255262241,125.69335566876975
2020,4,19,110,125.69335566876975,122.10966670191276,125.1331046187801,124.12042494781063
2020,4,20,111,124.12042494781063,119.91612511342394,125.42035579676552,114.98302602521564
2020,4,21,112,114.98302602521564,123.22245552236096,124.7156273555929,124.52573273087944
2020,4,22,113,124.52573273087944,126.1476220263626,124.90180981395268,125.03808209415683
2020,4,23,114,125.03808209415683,133.65390339953765,124.74330410935184,137.12899679760463
2020,4,24,115,137.12899679760463,125.18860389909304,125.2397460233614,123.924081001684
2020,4,25,116,123.924081001684,125.69335566876975,125.05909989516013,126.46398548806523
2020,4,26,117,126.46398548806523,124.12042494781063,125.16918986934522,124.85033600960152
2020,4,27,118,124.85033600960152,114.98302602521564,125.27346287817248,119.24545445717573
2020,4,28,119,119.24545445717573,124.52573273087944,125.88238122559535,130.86523358277836
2020,4,29,120,130.86523358277836,125.03808209415683,126.78802420443806,128.97040678027275
2020,4,30,121,128.97040678027275,137.12899679760463,127.34978487388318,129.22289364931095
2020,5,1,122,129.22289364931095,123.924081001684,126.22034156698406,120.77518285511844
2020,5,2,123,120.77518285511844,126.46398548806523,125.77049897461757,132.38789631480864
2020,5,3,124,132.38789631480864,124.85033600960152,126.61677194986662,118.41391775547464
2020,5,4,125,118.41391775547464,119.24545445717573,125.69728362784849,128.40417654470605
2020,5,5,126,128.40417654470605,130.86523358277836,127.00567249749568,136.46638367543048
2020,5,6,127,136.46638367543048,128.97040678027275,127.805836796446,120.603162364093
2020,5,7,128,120.603162364093,129.22289364931095,126.61051616556317,122.76364599876756
2020,5,8,129,122.76364599876756,120.77518285511844,125.68776650119983,126.13026330824222
2020,5,9,130,126.13026330824222,132.38789631480864,126.45277799450322,123.14911090831976
2020,5,10,131,123.14911090831976,118.41391775547464,125.13295150786197,117.94529596781246
2020,5,11,132,117.94529596781246,128.40417654470605,125.06600553819592,126.07122427562534
2020,5,12,133,126.07122427562534,136.46638367543048,124.73272664261297,120.44439122048438
2020,5,13,134,120.44439122048438,120.603162364093,122.44387057762067,128.149108893127
2020,5,14,135,128.149108893127,122.76364599876756,123.52186293891123,121.20703220697104
2020,5,15,136,121.20703220697104,126.13026330824222,123.29948954008317,133.57463551279113
2020,5,16,137,133.57463551279113,123.14911090831976,124.36297128359016,121.92734504096984
2020,5,17,138,121.92734504096984,117.94529596781246,124.18843330254016,124.24982491576289
2020,5,18,139,124.24982491576289,126.07122427562534,125.08908029510451,129.94214826020047
2020,5,19,140,129.94214826020047,120.44439122048438,125.6420694357581,119.73261527224652
2020,5,20,141,119.73261527224652,128.149108893127,125.54038715743842,127.03459314319316
2020,5,21,142,127.03459314319316,121.20703220697104,125.38117062173356,132.44138331939976
2020,5,22,143,132.44138331939976,133.57463551279113,126.9860779235091,117.8746870284953
2020,5,23,144,117.8746870284953,121.92734504096984,124.74322814003827,126.83980241101
2020,5,24,145,126.83980241101,124.24982491576289,125.44500776432972,127.2187125219516
2020,5,25,146,127.2187125219516,129.94214826020047,125.86913456521383,129.82925366058262
2020,5,26,147,129.82925366058262,119.73261527224652,125.85300676526842,119.7344421601822
2020,5,27,148,119.7344421601822,127.03459314319316,125.85326774925923,119.31422559519636
2020,5,28,149,119.31422559519636,132.44138331939976,124.75035809954541,128.5218273551144
2020,5,29,150,128.5218273551144,117.8746870284953,124.19042153321892,127.39099357084638
2020,5,30,151,127.39099357084638,126.83980241101,125.54989389641193,127.15086732744656
2020,5,31,152,127.15086732744656,127.2187125219516,125.59433174161715,127.62140204850785
2020,6,1,153,127.62140204850785,129.82925366058262,125.65185881683949,122.47826369963995
2020,6,2,154,122.47826369963995,119.7344421601822,124.60171739384766,127.0273942612158
2020,6,3,155,127.0273942612158,119.31422559519636,125.64356769399532,127.31778299159213
2020,6,4,156,127.31778299159213,128.5218273551144,126.78693303633759,122.26555941409492
2020,6,5,157,122.26555941409492,127.39099357084638,125.8931804733348,135.149731030127
2020,6,6,158,135.149731030127,127.15086732744656,127.00157153894631,128.17225660243898
2020,6,7,159,128.17225660243898,127.62140204850785,127.14748429251667,119.8275454380862
2020,6,8,160,119.8275454380862,122.47826369963995,126.03407620531357,129.04658551929566
2020,6,9,161,129.04658551929566,127.0273942612158,126.97240789383581,120.8689938858345
2020,6,10,162,120.8689938858345,127.31778299159213,126.0926364116385,129.65528715451526
2020,6,11,163,129.65528715451526,122.26555941409492,126.42656557777036,131.48922832910202
2020,6,12,164,131.48922832910202,135.149731030127,127.74423256562852,121.56819711972882
2020,6,13,165,121.56819711972882,128.17225660243898,125.80401343557163,130.4628674982299
2020,6,14,166,130.4628674982299,119.8275454380862,126.13124356354176,127.68333766428675
2020,6,15,167,127.68333766428675,129.04658551929566,127.25349959585614,129.702296494007
2020,6,16,168,129.702296494007,120.8689938858345,127.34717259224347,135.04768846977396
2020,6,17,169,135.04768846977396,129.65528715451526,129.3727003899491,124.30772499523523
2020,6,18,170,124.30772499523523,131.48922832910202,128.60876293862339,121.73619011926348
2020,6,19,171,121.73619011926348,121.56819711972882,127.2154717657893,121.0268169145482
2020,6,20,172,121.0268169145482,130.4628674982299,127.13813173647779,121.36421812743131
2020,6,21,173,121.36421812743131,127.68333766428675,125.83832468350657,125.02605366354832
2020,6,22,174,125.02605366354832,129.702296494007,125.45871268340106,127.08507688660856
2020,6,23,175,127.08507688660856,135.04768846977396,125.08482416805846,126.73003808855704
2020,6,24,176,126.73003808855704,124.30772499523523,123.89658839931316,129.44932997219763
2020,6,25,177,129.44932997219763,121.73619011926348,124.63110339602208,125.34486578494725
2020,6,26,178,125.34486578494725,121.0268169145482,125.14662849111976,132.5136327955451
2020,6,27,179,132.5136327955451,121.36421812743131,126.78760218840503,123.88849843524122
2020,6,28,180,123.88849843524122,125.02605366354832,127.1482136609493,138.7782134399344
2020,6,29,181,138.7782134399344,127.08507688660856,129.11280791471876,128.2711049412561
2020,6,30,182,128.2711049412561,126.73003808855704,129.2822404939541,120.82224743626034
2020,7,1,183,120.82224743626034,129.44932997219763,128.4382704007689,119.71875703451758
2020,7,2,184,119.71875703451758,125.34486578494725,127.04818855252886,127.4507340926711
2020,7,3,185,127.4507340926711,132.5136327955451,127.3490268822037,123.88622967060292
2020,7,4,186,123.88622967060292,123.88849843524122,126.11654072149767,128.5387876359603
2020,7,5,187,128.5387876359603,138.7782134399344,126.78086775017182,127.300335721761
2020,7,6,188,127.300335721761,128.2711049412561,125.14117093328991,124.5355371759974
2020,7,7,189,124.5355371759974,120.82224743626034,124.6075183953958,120.6314697873817
2020,7,8,190,120.6314697873817,119.71875703451758,124.58026444555598,117.25723211600746
2020,7,9,191,117.25723211600746,127.4507340926711,124.22861802862597,122.56524720845228
2020,7,10,192,122.56524720845228,123.88622967060292,123.53069133088044,129.04654408592174
2020,7,11,193,129.04654408592174,128.5387876359603,124.26787910449741,125.80217183437186
2020,7,12,194,125.80217183437186,127.300335721761,123.87693398998478,118.4706373854888
2020,7,13,195,118.4706373854888,124.5355371759974,122.61554851337446,125.53338941094664
2020,7,14,196,125.53338941094664,120.6314697873817,122.75809883265292,126.56280053623804
2020,7,15,197,126.56280053623804,117.25723211600746,123.60543179677526,120.18628051144304
2020,7,16,198,120.18628051144304,122.56524720845228,124.0238672818375,125.34422213666726
2020,7,17,199,125.34422213666726,129.04654408592174,124.4208637001539,124.83739343427892
2020,7,18,200,124.83739343427892,125.80217183437186,123.81955646420495,118.80302515526785
2020,7,19,201,118.80302515526785,118.4706373854888,122.8196783671901,126.27916283353046
2020,7,20,202,126.27916283353046,125.53338941094664,123.93518200262461,127.26736941031147
2020,7,21,203,127.26736941031147,126.56280053623804,124.18289343110528,129.85284361680908
2020,7,22,204,129.85284361680908,120.18628051144304,124.6528995854726,129.68170640361257
2020,7,23,205,129.68170640361257,125.34422213666726,126.00938899863965,117.50047412398052
2020,7,24,206,117.50047412398052,124.83739343427892,124.88885356825584,119.67688431944669
2020,7,25,207,119.67688431944669,118.80302515526785,124.15163798042265,126.9194854875798
2020,7,26,208,126.9194854875798,126.27916283353046,125.31113231361009,126.8926966294136
2020,7,27,209,126.8926966294136,127.26736941031147,125.39877999873625,126.87966779134682
2020,7,28,210,126.87966779134682,129.85284361680908,125.34339405316987,143.55000037404002
2020,7,29,211,143.55000037404002,129.68170640361257,127.30013073277429,127.12400605529233
2020,7,30,212,127.12400605529233,117.50047412398052,126.93474496872855,129.9319348642149
2020,7,31,213,129.9319348642149,119.67688431944669,128.71066793161916,129.01005638571274
2020,8,1,214,129.01005638571274,126.9194854875798,130.04397822680002,127.48437722552843
2020,8,2,215,127.48437722552843,126.8926966294136,130.12467704650697,122.63992497083824
2020,8,3,216,122.63992497083824,126.87966779134682,129.51713823813907,128.0014882372884
2020,8,4,217,128.0014882372884,143.55000037404002,129.67739830184502,120.33445116010743
2020,8,5,218,120.33445116010743,127.12400605529233,126.36089127128321,123.00802643285
2020,8,6,219,123.00802643285,129.9319348642149,125.77289418236286,121.76049359995363
2020,8,7,220,121.76049359995363,129.01005638571274,124.60554543032556,124.5935655622326
2020,8,8,221,124.5935655622326,127.48437722552843,123.9746181698284,135.75610439279382
2020,8,9,222,135.75610439279382,122.63992497083824,125.15629347943774,114.84687645991482
2020,8,10,223,114.84687645991482,128.0014882372884,124.0430008350201,127.6167088839086
2020,8,11,224,127.6167088839086,120.33445116010743,123.98803235596584,116.12588867037584
2020,8,12,225,116.12588867037584,123.00802643285,123.38680914314705,121.83576276739944
2020,8,13,226,121.83576276739944,121.76049359995363,123.21934290522553,129.64806195709127
2020,8,14,227,129.64806195709127,124.5935655622326,124.34613838481661,124.53456700772746
2020,8,15,228,124.53456700772746,135.75610439279382,124.33771001988733,118.83630970162017
2020,8,16,229,118.83630970162017,114.84687645991482,121.9205964925768,120.66242754351909
2020,8,17,230,120.66242754351909,127.6167088839086,122.75138950452026,127.6529296277041
2020,8,18,231,127.6529296277041,116.12588867037584,122.75656389649104,120.62122067125568
2020,8,19,232,120.62122067125568,121.83576276739944,123.39875418233103,125.37561311030454
2020,8,20,233,125.37561311030454,129.64806195709127,123.90444708846032,124.5436336751318
2020,8,21,234,124.5436336751318,124.53456700772746,123.17524304818039,121.08244897892992
2020,8,22,235,121.08244897892992,118.83630970162017,122.68208332978075,135.08710262301938
2020,8,23,236,135.08710262301938,120.66242754351909,125.00362517569492,127.5661965881079
2020,8,24,237,127.5661965881079,127.6529296277041,125.98987789635048,114.30242762964131
