date,value
2020-01-01,102.48357076505616
2020-01-02,99.61786845957496
2020-01-03,103.85677171913612
2020-01-04,108.54251558447906
2020-01-05,100.06548405618786
2020-01-06,100.37424731410886
2020-01-07,109.74942313545847
2020-01-08,105.99865477632605
2020-01-09,100.12187580087752
2020-01-10,105.48940859479129
2020-01-11,100.76642424452254
2020-01-12,101.06126173199783
2020-01-13,104.90556303250455
2020-01-14,94.43458509850355
2020-01-15,95.6809755468516
2020-01-16,101.79799965375314
2020-01-17,99.8483991630118
2020-01-18,106.7861046612924
2020-01-19,100.97620775595472
2020-01-20,98.75536804889367
2020-01-21,113.44473876093532
2020-01-22,105.28622364652219
2020-01-23,107.05031050537572
2020-01-24,99.88539952218653
2020-01-25,104.58255730180794
2020-01-26,108.15322704304376
2020-01-27,102.13655562668369
2020-01-28,110.06164318951099
2020-01-29,105.47026369103288
2020-01-30,107.30392157978089
2020-01-31,106.04137469307395
2020-02-01,118.59735585061665
2020-02-02,109.55303166974679
2020-02-03,104.61496809382004
2020-02-04,114.29766117041686
2020-02-05,104.3604984746494
2020-02-06,111.78713885805303
2020-02-07,101.22085676263751
2020-02-08,104.6529047818781
2020-02-09,112.55096932069424
2020-02-10,115.5299844847759
2020-02-11,112.96360216488668
2020-02-12,111.79571021014317
2020-02-13,111.133667222276
2020-02-14,105.50981514653898
2020-02-15,109.56441146985485
2020-02-16,111.11957738236035
2020-02-17,118.96541631420138
2020-02-18,115.65279032908943
2020-02-19,105.37221671967644
2020-02-20,116.05834668436172
2020-02-21,112.76078196417015
2020-02-22,111.54757420754821
2020-02-23,118.23424860947895
2020-02-24,120.57220832967008
2020-02-25,120.3125846350223
2020-02-26,111.69666939191968
2020-02-27,114.58083833001744
2020-02-28,118.01490210549684
2020-02-29,121.46550889407543
2020-03-01,114.41859671858958
2020-03-02,116.1103175256384
2020-03-03,111.72851615594985
2020-03-04,111.4981456618586
2020-03-05,121.75818057983014
2020-03-06,124.69048578952292
2020-03-07,117.76030805546314
2020-03-08,123.34641313956185
2020-03-09,120.342614658224
2020-03-10,115.51179726528561
2020-03-11,120.74459172610125
2020-03-12,126.82525169048873
2020-03-13,119.1506134834581
2020-03-14,127.34483942482069
2020-03-15,106.61195955036516
2020-03-16,124.00643262107249
2020-03-17,120.51554705420392
2020-03-18,118.76580948346157
2020-03-19,120.8973147191937
2020-03-20,110.6754489604267
2020-03-21,119.68682375839238
2020-03-22,122.73973241366018
2020-03-23,128.50971341897707
2020-03-24,118.69204447191017
2020-03-25,117.40115095830772
2020-03-26,119.092121385204
2020-03-27,126.33226309096351
2020-03-28,123.55040713767269
2020-03-29,119.40629863568533
2020-03-30,124.76693052734392
2020-03-31,122.82851799601161
2020-04-01,127.3259336827656
2020-04-02,119.10906262341754
2020-04-03,121.11467776858065
2020-04-04,120.9231502305266
2020-04-05,115.6938627510825
2020-04-06,124.6168321633722
2020-04-07,124.56335087972042
2020-04-08,123.4025405338032
2020-04-09,122.31999671449178
2020-04-10,116.52910447878236
2020-04-11,121.61283120566597
2020-04-12,122.10966670191276
2020-04-13,119.91612511342394
2020-04-14,123.22245552236096
2020-04-15,126.14762202636261
2020-04-16,133.65390339953763
2020-04-17,125.18860389909304
2020-04-18,125.69335566876975
2020-04-19,124.12042494781065
2020-04-20,114.98302602521565
2020-04-21,124.52573273087945
2020-04-22,125.03808209415685
2020-04-23,137.12899679760463
2020-04-24,123.924081001684
2020-04-25,126.46398548806523
2020-04-26,124.85033600960152
2020-04-27,119.24545445717573
2020-04-28,130.86523358277836
2020-04-29,128.97040678027275
2020-04-30,129.22289364931095
2020-05-01,120.77518285511844
2020-05-02,132.38789631480864
2020-05-03,118.41391775547463
2020-05-04,128.40417654470605
2020-05-05,136.46638367543048
2020-05-06,120.60316236409301
2020-05-07,122.76364599876757
2020-05-08,126.13026330824222
2020-05-09,123.14911090831976
2020-05-10,117.94529596781246
2020-05-11,126.07122427562534
2020-05-12,120.44439122048438
2020-05-13,128.149108893127
2020-05-14,121.20703220697104
